feature,mean_abs_shap
review_log,0.20647097246698082
same_category_density_500m,0.14698391211679185
rating,0.05614900043628717
nearest_neighbor_dist_m,0.025690179429191707
competitor_density_500m,0.018510339554058047
dist_to_cluster_centroid_m,0.006641178517527046
cluster_id,0.0035265858526959716
hotspot_score,0.0
