id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,cluster_id,dist_to_cluster_centroid_m,competitor_density_500m,competitor_density_1km,same_category_density_500m,nearest_neighbor_dist_m,rating,review_log,price_level
74,PT  Total Lintas Samudera (Keagenan Kapal),corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.163074,104.0014711,388905.8153390186,128574.45128671486,0,2398.51670334413,8,20,5,20.134938693488508,5.0,0.6931471805599453,0
75,PT  Sukses Baja Megah Indo (Batam),corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1738068,104.0155955,390477.83819946117,129760.37719104574,0,2818.973415031313,15,54,11,105.83212358460482,5.0,0.6931471805599453,0
76,PT ANUGRAH SHANJASA MANDIRI,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1661341,104.0121771,390097.1798695428,128912.31707264057,0,2045.851550078996,24,65,15,40.417618620562415,0.0,0.0,0
78,Pt Tirta Cooperate,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1548354,104.0057508,389381.6940773403,127663.52866510928,0,1472.436568701774,11,30,9,62.47752250110039,0.0,0.0,0
81,Pt Pertamina,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1662515,104.0068909,389508.9953485336,128925.50226909539,0,2292.496070432478,10,45,4,219.81509729799444,4.0,3.044522437723423,0
82,PT  Sindotama Trijaya,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1553425,104.0045553,389248.6911641143,127719.63374624297,0,1616.0173405532446,10,29,9,144.3521910316129,0.0,0.0,0
83,PT Bahari Berkah Madani,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1569097,104.0048936,389286.3943129693,127892.87024083048,0,1674.2999732979483,13,28,12,20.201412840517296,5.0,0.6931471805599453,0
84,PT  Ridho Pratama Mulya,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1808669,104.0139312,390292.93035747984,130540.91517863772,-1,0.0,1,13,1,316.04545532590845,0.0,0.0,0
87,PT Sanpro Energi Fabrikator,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1687529,104.0098466,389837.97000387986,129201.90895011082,0,2402.192937430734,15,64,10,70.86707666933654,0.0,0.0,0
89,PT  Menara Prima Sentosa,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1541132,104.0017573,388937.3115734657,127583.84708673305,0,1844.3202471753864,11,25,10,338.540641832931,0.0,0.0,0
93,PT PLN Batam Unit PLTD Batu Ampar,power station,Company,Indonesia.Batam.PT.202408042212.db,places,1.1677979,104.0088292,389724.72799044906,129096.37635405344,0,2346.6665054179934,14,58,0,88.32841605239501,5.0,0.6931471805599453,0
94,PT  Multi Idea Advertising,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1787718,104.0089462,389738.1761465831,130309.50508878035,-1,0.0,3,16,2,111.91954906464561,0.0,0.0,0
95,Tiga Benua  PT,manufacturer,Company,Indonesia.Batam.PT.202408042212.db,places,1.167624,104.009604,389810.93223710236,129077.12182364469,0,2295.4722279245207,15,65,3,58.77447069547715,4.3,1.6094379124341003,0
96,PT  Pro Asia,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1671375,104.0101624,389873.0457613784,129023.31877772315,0,2222.676324067551,16,65,9,32.025350584425986,5.0,0.6931471805599453,0
97,PT  Demoh Engineering,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1643514,104.0133051,390222.62192447647,128715.20092890396,0,1822.7203701698404,28,65,18,60.32960243593827,5.0,1.0986122886681098,0
101,PT  BH Marine & Offshore Engineering,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1532016,103.9988527,388614.08250289096,127483.18560398994,0,2123.0245463770684,1,19,1,338.540641832931,5.0,0.6931471805599453,0
103,PT  Multi mitra cemerlang transportasi,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1624176,104.0118749,390063.4104801515,128501.48079664896,0,1667.2975472866844,19,62,14,146.78277199304011,0.0,0.0,0
107,PT  Pro Teknik Indonesia,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1660812,104.0111692,389985.0300705107,128906.50850674693,0,2074.475092462395,23,67,15,112.3001195933303,3.0,0.6931471805599453,0
108,PT  PNP YARD 1,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1608361,104.0080074,389633.01653733617,128326.80131736523,0,1724.4480140362896,6,51,5,50.085435213062866,5.0,0.6931471805599453,0
109,PT inti prima persada,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1796647,104.0094203,389790.96357467555,130408.19385662259,-1,0.0,3,14,2,111.91954906464561,0.0,0.0,0
110,PT  INDONESIA SURVEYOR (Preparasi Batubara DB Minba),mining company,Company,Indonesia.Batam.PT.202408042212.db,places,1.1761956,104.0113557,390006.17606033233,130024.61843732097,0,3147.24140250123,5,25,0,194.1559693085077,0.0,0.0,0
111,Obor Cemerlang Samudera,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1830535,104.0052004,389321.55644511495,130782.98397263298,-1,0.0,0,3,0,600.6751903827923,0.0,0.0,0
113,PT  Pacific Batam Perkasa,wholesale grocer,Company,Indonesia.Batam.PT.202408042212.db,places,1.1681128,104.0098118,389834.0729144029,129131.1491080444,0,2337.3134183602824,14,64,0,58.77447069547715,3.8,1.791759469228055,0
115,PT Rotating Offshore Solutions,manufacturer,Company,Indonesia.Batam.PT.202408042212.db,places,1.1680503,104.0049676,389295.062201091,129124.43028622192,0,2573.6765533442153,5,33,0,151.88268651804873,5.0,1.6094379124341003,0
