id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,cluster_id,dist_to_cluster_centroid_m,competitor_density_500m,competitor_density_1km,same_category_density_500m,nearest_neighbor_dist_m,rating,review_log,price_level
437,Batu merah,shop,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1300781,104.0529221,394629.4754393946,124924.92384616009,0,3542.1749700080054,48,115,0,138.54717071664598,5.0,0.6931471805599453,0
439,Pindukuik,restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1519818,104.0289259,391960.25604801736,127347.18183490513,0,1725.5421197635828,79,186,24,32.74972089639521,0.0,0.0,0
474,Sari Ayam Bakar,grill,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1525138,104.0382068,392992.9481425803,127405.64216766346,0,2409.300475311819,19,60,0,18.046014713946693,5.0,1.0986122886681098,0
494,Kampung tua bengkong Sadai blok M 1  No 1,diner,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1509644,104.0384775,393023.0107082546,127234.35178917207,0,2322.232554617438,18,62,1,107.74648037471283,4.8,3.044522437723423,0
503,Pak Kumis,restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1503621,104.0249956,391522.87520678365,127168.27884425197,0,1406.9149929915795,97,223,32,23.882641908430713,5.0,0.6931471805599453,0
513,Mubarokah,seafood restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.156108,104.0355079,392692.78056629316,127803.06905117608,0,2500.230865490667,15,82,1,75.71083191019383,3.8,2.70805020110221,0
517,Bakso Oma Lumayan,bakso restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1529572,104.0272626,391775.21959946345,127455.07203337594,0,1753.523800527703,73,177,7,44.3322933535087,5.0,0.6931471805599453,0
520,Angkringan Papah Muda,restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1585093,104.0316341,392261.8397234429,128068.67078009654,0,2506.483098974197,8,75,3,234.03809409648318,4.7,3.044522437723423,0
542,Warung Mie Ayam Bude,noodle shop,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1516085,104.0265829,391699.53930258966,127306.00375829286,0,1587.9941078820177,97,183,1,45.10726464517868,0.0,0.0,0
559,RM Ampera Densiko,padang restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1477871,104.026644,391706.1938160798,126883.55889233852,0,1197.5781733176168,121,209,8,8.70483894787398,4.5,5.384495062789089,2
563,Rm Tungku Minang,padang restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1506651,104.0258206,391614.6834673099,127201.74310287113,0,1463.009515553508,101,201,7,21.49716559219328,3.2,2.302585092994046,0
569,Bakso simpang bengkong polisi,bakso restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1594674,104.0194625,390907.5600279093,128175.0513982642,0,2392.995130445677,10,35,0,9.144301455507941,4.5,3.6109179126442243,0
582,Montir Perut,restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1579775,104.0341773,392544.797262872,128009.7856786761,0,2588.701211700371,10,73,2,216.07866342516004,5.0,1.0986122886681098,0
617,Warung Budhe Eti,indonesian restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1541237,104.0398859,393179.83885127323,127583.54731477085,0,2667.215302218027,15,55,1,72.97156346162356,4.3,2.302585092994046,0
622,Bebek Ayam Bakar Pak Camat,restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1501129,104.0249265,391515.1771141992,127140.73325958713,0,1378.3358809537342,97,228,33,5.176517393670655,1.0,0.6931471805599453,0
635,Senju Takoyaki top 100 bengkong,japanese restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.153691,104.023676,391376.1708358077,127536.32775215902,0,1745.9209500215043,56,180,0,18.7727738157403,5.0,2.0794415416798357,0
649,Mi Baso ayam,diner,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1553164,104.0385066,393026.4111098723,127715.44755503838,0,2648.9864515836903,20,58,1,202.33078167700876,4.0,1.6094379124341003,0
652,Tombo Luwe Cak Jukis,indonesian restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1536337,104.0393053,393115.21820573515,127529.401525635,0,2582.962710402473,17,54,1,84.30654963230432,0.0,0.0,0
658,Kedai Damaya,breakfast restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1533411,104.0370473,392863.96337349614,127497.14063041835,0,2379.1455637234426,23,75,2,7.907457879489614,0.0,0.0,0
662,Mie ayam bakso berutal,fast food restaurant,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1439174,104.0319322,392294.4611905763,126455.57792357981,0,1278.5538797656286,40,195,0,119.42287863934905,0.0,0.0,0
671,Warung Mie Aceh Bengkong Asrama,noodle shop,F&B,Indonesia.Batam.Kuliner.202406162232.db,places,1.1600746,104.0212313,391104.3953017994,128242.1072695175,0,2444.2372470361893,12,34,0,151.2574216313012,4.2,1.791759469228055,0
