id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
2808,Haiko,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1246563,104.0425365,393473.683823719,124325.94435698068,5.0,1.791759469228055,-1,5272.0895266801635,13.394891202084432,3.348722800521108,4.6,1.0,1.0,13.0,205.05909733099676,1.2732395447351628,3,3,24,172.41866012727886,1.039720770836918,85.07444323388209,507.0,192,0.800838304166583,1,1086.7283709519554,1160.6464350477652,0.0,0.0,1000.0,0.0,1
2809,EFATA Christian School,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1180386,104.0248367,391503.9906529321,123595.03227634088,4.0,3.091042453358316,-1,5272.0895266801635,12.391589093220647,2.4783178186441295,4.4799999999999995,2.0,4.0,8.0,32.783889039929186,5.092958178940651,2,4,15,32.783889039929186,-1.000088900581841e-12,218.87599764313708,218.0,85,0.7408134804795965,1,1212.154693222345,558.9882636446235,0.0,0.0,1000.0,0.0,1
2813,Sunny Glow Montessori Batam & Ohayo Drawing School,montessori school,Education,Indonesia.Batam.School.202408060757.db,places,1.1173711,104.0296045,392034.4796304795,123521.06677550879,5.0,0.6931471805599453,-1,5272.0895266801635,7.965545573129992,1.991386393282498,4.675,0.0,0.0,0.0,1000.0,0.0,0,3,30,273.38439538770604,0.5623351446168083,10.706283402499821,182.0,75,0.7364886097253773,1,1556.508165051512,1037.1351643107805,0.0,0.0,1000.0,0.0,1
2815,MI (SD Plus) Iskandar Muda,elementary school,Education,Indonesia.Batam.School.202408060757.db,places,1.107668,103.954008,383622.37988404644,122451.28549509596,5.0,0.6931471805599453,-1,2626.697343844494,8.476371196895983,2.825457065631994,4.6000000000000005,0.0,1.0,2.0,449.41906403641576,1.2732395447351628,1,2,6,62.20738202287771,0.6365141682928128,37.33649427389943,326.0,119,0.7650890907521429,1,534.3498538681871,451.4396175036381,0.0,0.0,1000.0,0.0,1
2817,Yayasan Aqil Global Islami,school,Education,Indonesia.Batam.School.202408060757.db,places,1.125645,104.0325374,392361.12558368396,124435.60837804593,5.0,1.0986122886681098,3,5272.0895266801635,29.161033796059954,1.822564612253747,3.75625,5.0,7.0,18.0,4.607233473634521,8.91267681314614,6,15,40,4.607233473634521,1.64622455382187,100.82201013003068,63.0,29,0.7112815033530798,1,1128.1789264551228,761.4426099620715,0.0,0.0,990.8655127851913,237.0,0
2818,GPPS Anugerah Teluk Bakau,church,Education,Indonesia.Batam.School.202408060757.db,places,1.1172902,104.1349205,403752.81133678416,123508.46327844306,4.0,2.4849066497880004,-1,878.9373752180311,5.662960480135946,1.8876534933786486,4.433333333333334,0.0,0.0,0.0,12604.614014614677,0.0,1,2,2,67.79051335973904,1.0986122886651097,8.325352831546322,182.0,89,0.7365219909509082,1,223.71391413004582,624.888981081785,0.0,0.0,1000.0,0.0,1
2824,SDN 005 BATAM KOTA,elementary school,Education,Indonesia.Batam.School.202408060757.db,places,1.1051401,104.0417129,393381.34025530645,122168.53619237334,4.3,3.295836866004329,3,5272.0895266801635,25.57464572166532,2.557464572166532,4.32,0.0,1.0,2.0,404.9515737226914,1.2732395447351628,1,9,23,48.14014339584932,1.834371970274624,152.73499392227734,261.0,122,0.7503927049028398,1,790.8925110212397,1145.802368442523,0.0,0.0,3247.6026416746795,237.0,0
2825,SMA 19 batam,high school,Education,Indonesia.Batam.School.202408060757.db,places,1.1300779,104.0529207,394629.31965592894,124924.90178781436,5.0,0.6931471805599453,-1,5272.0895266801635,2.6390573296152584,0.37700818994503693,1.4285714285714286,1.0,2.0,2.0,0.0,2.5464790894703255,5,6,10,0.0,1.0042424730510766,33.30618143071943,152.0,68,0.7301355363560067,1,1278.0824654548594,945.0689329784358,0.0,0.0,1000.0,0.0,1
2826,SEKOLAH PERMATA HARAPAN NATIONAL PLUS (Sekolah Permata Harapan Baloi Batam),school,Education,Indonesia.Batam.School.202408060757.db,places,1.1290414,104.0107924,389941.6880532659,124811.88207778454,4.4,3.5553480614894135,0,8196.7314918906,16.823451995424698,1.8692724439360775,4.311111111111111,0.0,3.0,15.0,334.3818199169276,3.819718634205488,2,8,39,154.13029804838732,1.4270610433757245,21.243091385723716,530.0,197,0.8063610018397613,1,147.99768700483475,705.6664565734237,0.0,0.0,172.0725183153577,52.0,0
2828,Sekolah Taman Hijau BATAM,school,Education,Indonesia.Batam.School.202408060757.db,places,1.1054332,104.0305379,392137.90587711387,122201.34082696395,4.3,1.9459101490553132,17,5272.0895266801635,14.948408324598933,1.8685510405748667,4.1375,1.0,2.0,8.0,221.69192664417008,2.5464790894703255,6,7,21,42.59896801284876,1.2554823251747536,80.9375621059789,71.0,45,0.7131699460969904,1,1255.5715754665002,270.5420214747907,0.0,0.0,397.6772031571163,15.0,0
