id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,rating,review_count_log,cluster_id,population_density,nearby_review_count_log_sum_500m,nearby_review_count_log_mean_500m,nearby_avg_rating_500m,same_category_density_250m,same_category_density_500m,same_category_density_1000m,nearest_same_category_distance_m,competitor_saturation_index,business_density_250m,business_density_500m,business_density_1000m,nearest_business_distance_m,poi_diversity_index,nearest_road_distance_m,road_density_500m,intersection_density_500m,road_access_score,is_valid_land,distance_to_water_body_m,distance_to_forest_or_green_area_m,commercial_land_ratio_500m,residential_land_ratio_500m,cluster_centroid_distance_m,nearest_cluster_size,is_noise_area
270,Urut Pak Ismail,reflexologist,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1475529,104.0290299,391971.6614885052,126857.57867256292,5.0,1.3862943611198906,0,9626.992191604691,66.03311593085864,1.222835480201086,2.7314814814814814,0.0,0.0,0.0,1261.406399584031,0.0,15,53,109,63.78868421460653,3.201054406039891,51.767719943752006,588.0,207,0.8144016038333083,1,466.09733599734574,657.6789152571013,0.0,0.0,1005.3766447670007,525.0,0
272,Pijat Terapi Urat,physical therapist,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1480817,104.0240356,391415.970923933,126916.22483570474,0.0,0.0,0,9626.992191604691,51.97496362699661,1.1812491733408321,2.940909090909091,0.0,0.0,2.0,737.007545344285,0.0,8,43,139,11.41589195690712,3.0553664435311876,21.72148216987304,265.0,108,0.7515936810121262,1,1013.4065184850615,100.93299892801019,0.0,0.0,857.766234739132,525.0,0
273,KLINIK PRIMA HUSADA (RUKO ESQARADA),medical clinic,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.150957,104.0261964,391656.5093156546,127233.9973663088,5.0,3.295836866004329,0,9626.992191604691,63.564148132372154,1.077358442921562,2.76271186440678,1.0,3.0,5.0,223.17248420361466,3.819718634205488,22,58,126,1.8681955143233426,3.2388989287481404,20.60449405745016,384.0,141,0.7748962771686326,1,927.6706746565372,394.9876247545152,0.0,0.0,1210.7428985246854,525.0,0
274,Klinik Karya Asih,medical clinic,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1518843,104.027978,391854.78075764014,127336.43951094947,4.3,1.3862943611198906,0,9626.992191604691,55.395661715245474,1.2042535155488145,2.9239130434782608,1.0,2.0,5.0,223.17248420361466,2.5464790894703255,19,45,116,39.76912546012954,3.1917798387701515,20.875493083466267,470.0,167,0.791722401742393,1,851.7045942535847,616.0769828604983,0.0,0.0,1368.9750041672562,525.0,0
275,T navi Salon,beauty salon,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1461012,104.0268293,391726.74858047604,126697.18147958854,5.0,0.6931471805599453,0,9626.992191604691,70.1884481571956,1.4037689631439119,2.926,3.0,3.0,8.0,74.86259541921774,3.819718634205488,20,49,122,48.506831850598005,3.2310833184009926,21.02099404773251,472.0,182,0.7921118470263636,1,673.1540258502351,472.45291240420016,0.0,0.0,735.3284101219932,525.0,0
276,Puskesmas Pembantu Bengkong Harapan 2,hospital,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1546933,104.0346161,392593.4983264606,127646.71294788386,5.0,0.6931471805599453,0,9626.992191604691,5.0751738152338275,0.8458623025389712,4.166666666666667,0.0,0.0,1.0,971.5164854379938,0.0,1,5,57,94.16380310195748,1.791759469222055,33.209991302355036,710.0,247,0.8385243230738229,1,177.29413582240088,563.8930753269442,0.0,0.0,2010.0348701101639,525.0,0
278,Apotek Harapan Medika,pharmacy,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1399511,104.0384664,393021.3671475984,126016.87430924391,5.0,1.3862943611198906,0,9626.992191604691,2.772588722239781,0.23104906018664842,0.8333333333333334,0.0,0.0,2.0,615.3325725762808,0.0,0,11,40,361.8009812563776,1.349792396166401,18.407883853540483,490.0,177,0.7956692676619255,1,564.735866391881,426.5563554690114,0.0,0.0,1662.809233108391,525.0,0
279,Toko herbal K-link,health and beauty shop,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.15455,104.0393359,393118.65722601337,127630.69379196496,5.0,0.6931471805599453,0,9626.992191604691,4.382026634673881,0.7303377724456469,3.8333333333333335,0.0,0.0,1.0,567.4563410347505,0.0,4,5,21,0.26001776033369706,1.3296613488507583,33.27294304302194,480.0,161,0.7935136971921549,1,236.16699361633985,203.08504741647704,0.0,0.0,2358.378062136131,525.0,0
280,Bidan Molina Tambunan,midwife,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1505364,104.0302253,392104.7842235259,127187.3487990651,5.0,1.3862943611198906,0,9626.992191604691,40.73617308701867,1.0445172586415044,2.628205128205128,1.0,3.0,7.0,221.15293291821925,3.819718634205488,7,38,115,72.57053455064103,3.0749301214652234,84.72901567009124,590.0,200,0.8143525724448564,1,583.9498247253639,805.5396098037653,0.0,0.0,1351.34937630144,525.0,0
281,HM  Badri Mubarrok,denture care center,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.148252,104.0281689,391875.8852454793,126934.8942543603,5.0,0.6931471805599453,0,9626.992191604691,72.58255288015832,1.0997356496993684,2.619696969696969,0.0,0.0,1.0,619.9990680863048,0.0,17,65,101,31.980630136774753,3.2980799715904157,41.49208803976095,535.0,191,0.804167084368046,1,584.9608521440374,554.9856910682436,0.0,0.0,1015.8137720997436,525.0,0
282,Bidan Rasmita,midwife,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1538399,104.0280388,391861.6196902649,127552.62193020353,5.0,0.6931471805599453,0,9626.992191604691,45.9283571674886,1.068101329476479,2.744186046511628,2.0,3.0,7.0,191.00436026597492,3.819718634205488,11,42,118,110.30914507441153,2.8582386951412384,20.573875555054098,506.0,177,0.7987714416672232,1,910.0224734833646,704.1783090897702,0.0,0.0,1574.6086475223858,525.0,0
285,klinik Assifa,medical clinic,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1587902,104.0291957,391990.53350929875,128099.81612005776,4.6,4.110873864173311,0,9626.992191604691,37.4530169468309,1.291483342994169,2.7344827586206897,0.0,1.0,3.0,441.7918223590835,1.2732395447351628,7,28,71,59.599957548534555,2.5278846636949783,19.651196759374546,698.0,256,0.8363571557955882,1,795.9390415663215,1017.0533881344904,0.0,0.0,2134.975577124103,525.0,0
286,Toko Obat Mardatila,pharmacy,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1482315,104.0261502,391651.26594233257,126932.70448506689,0.0,0.0,0,9626.992191604691,66.91959240002237,1.134230379661396,2.6762711864406774,2.0,3.0,12.0,186.9620333669432,3.819718634205488,23,58,127,89.27934245604412,3.256636153962497,20.599941043489277,390.0,145,0.7760705063023543,1,792.3947813515674,330.8422649485668,0.0,0.0,919.9771816894302,525.0,0
287,CLUB BUANA,home health care service,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1513901,104.02898,391966.2534013961,127281.76944109172,0.0,0.0,0,9626.992191604691,51.06492837495914,1.134776186110203,2.795555555555555,0.0,0.0,0.0,2986.3253340255897,0.0,13,44,116,74.6586269811105,3.1556484529926196,7.490827661210398,520.0,179,0.8016859802002212,1,739.5778506910798,700.509901872879,0.0,0.0,1363.9952117869998,525.0,0
288,BOSRUM COSMETICS,cosmetics and perfumes supplier,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,1.1500922,104.0241059,391423.86905841995,127138.47615021358,5.0,2.9444389791664403,0,9626.992191604691,50.41681900895007,1.0726982767861717,2.831914893617021,0.0,0.0,0.0,1000.0,0.0,14,46,142,76.72672988538537,3.0430137542655804,28.716469837733186,289.0,109,0.756196888877143,1,1080.6781418539952,143.67277945352365,0.0,0.0,1080.0740945119126,525.0,0
